mode,bytes,loss_pct,delay_ms,jitter_ms,iter,sender_ms,receiver_ms,throughput_mbps,fallback
sdr,1048576,0.0,0,0,1,14,10,838.8608,False
sdr,1048576,0.0,0,0,2,14,10,838.8608,False
sdr,1048576,0.0,0,0,3,13,10,838.8608,False
sr,1048576,0.0,0,0,1,50,50,167.77216,False
sr,1048576,0.0,0,0,2,50,50,167.77216,False
sr,1048576,0.0,0,0,3,50,50,167.77216,False
ec,1048576,0.0,0,0,1,42,,199.72876190476188,True
ec,1048576,0.0,0,0,2,41,,204.60019512195123,True
ec,1048576,0.0,0,0,3,41,,204.60019512195123,True
sr,1048576,5.0,50,10,1,252,252,33.28812698412698,False
sr,1048576,5.0,50,10,2,302,302,27.776847682119204,False
sr,1048576,5.0,50,10,3,252,252,33.28812698412698,False
ec,1048576,5.0,50,10,1,183,,45.83938797814208,True
ec,1048576,5.0,50,10,2,162,,51.78153086419753,True
ec,1048576,5.0,50,10,3,162,,51.78153086419753,True
sr,1048576,10.0,50,10,1,302,302,27.776847682119204,False
sr,1048576,10.0,50,10,2,403,403,20.81540446650124,False
sr,1048576,10.0,50,10,3,302,302,27.776847682119204,False
ec,1048576,10.0,50,10,1,213,,39.38313615023474,True
ec,1048576,10.0,50,10,2,203,,41.32319211822659,True
ec,1048576,10.0,50,10,3,173,,48.48906358381503,True
