size,loss,SNDR TP (Mbps),SDNR TT (ms),RCVR TP (Mbps),RCVR TT (ms)
1MiB,0%,67.6501,124,838.9,10
10 MiB,0%,415.278,202,4194.3,20
100 MiB,0%,1069.98,784,5555.4,151
500 MiB,0%,889,4718,2046,2050
1 GiB,0%,880.929,9751,1748.4,4913
1MiB,0.50%,67.6501,124,838.9,10
10 MiB,0.50%,411.206,204,4194.3,20
100 MiB,0.50%,894.308,938,4510,186
500 MiB,0.50%,918.997,4564,1886.8,2223
1 GiB,0.50%,939.509,9143,2370.3,3624
1MiB,1%,67.6501,124,838.9,10
10 MiB,1%,415.278,202,4194.3,20
100 MiB,1%,894.308,938,2613.3,321
500 MiB,1%,876.736,4784,2368,1771.2
1 GiB,1%,915.478,9383,4674,1837.8
1MiB,5%,67.1089,125,838.9,10
10 MiB,5%,413.232,203,4194.3,20
100 MiB,5%,854.237,982,1719,488
500 MiB,5%,1027.76,4081,1989.7,2108
1 GiB,5%,895.158,9596,2007.5,4279
1MiB,10%,67.1089,125,838.9,10
10 MiB,10%,411.206,204,4194.3,20
100 MiB,10%,855.98,980,4236.7,198
500 MiB,10%,1032.32,4063,2481.8,1690
1 GiB,10%,892.09,9629,1848.1,4648
