size,loss,SNDR TP (Mbps),SDNR TT (ms),RCVR TP (Mbps),RCVR TT (ms)
1MiB,0%,51.4639,163,167.8,50
10 MiB,0%,514.639,163,1677.7,50
100 MiB,0%,3813,220,2231.01,376
500 MiB,0%,3204.2,1309,3518.7,1192
1 GiB,0%,3281.11,2618,3451.2,2489
1MiB,0.50%,51.4639,163,167.8,50
10 MiB,0.50%,511.5,164,1677.7,50
100 MiB,0.50%,2201.73,381,3813,220
500 MiB,0.50%,3111.5,1348,3506.9,1196
1 GiB,0.50%,3383.2,2539,3559.9,2413
1MiB,1%,51.4639,163,167.8,50
10 MiB,1%,514.639,163,1677.7,50
100 MiB,1%,2178.86,385,3813,220
500 MiB,1%,2947.51,1423,3253.9,1289
1 GiB,1%,4067.2,2112,4327.4,1985
1MiB,5%,167.8,50,51.7815,162
10 MiB,5%,514.639,163,1677.7,50
100 MiB,5%,1923.99,436,2637.9,318
500 MiB,5%,2978.91,1408,3358.1,1249
1 GiB,5%,3568.73,2407,3738,2298
1MiB,10%,51.4639,163,167.8,50
10 MiB,10%,511.5,164,1677.7,50
100 MiB,10%,2213.35,379,3813,220
500 MiB,10%,2964.17,1415,3274.2,1281
1 GiB,10%,3329.43,2423,3545.2,2423
